lead_organization,implementing_partner,sub_cluster,response_activity,quantity_planned,quantity_delivered,province,district,indicator,beneficiary_type,no_of_individual_targeted,total_no_of_individuals_reached,no_of_girls_reached,no_of_boys_reached,no_of_women_reached,no_of_men_reached,status,funding_source,intial_4w_recotd,admin3_limit_test,short_name,admin3_p_code,start,start_dow,start_month,start_year,end_year,last_updated_year,month
ActionAid Zimbabwe,ActionAid Zimbabwe,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,300,300,Manicaland,Chimanimani,# of people receiving WASH NFI kits,General Population,1500,1500,76,68,57,58,Completed,DEC,159,23,AAZ,ZW110213,2019-03-18,2019-03-17,Mar,2019,2019,2019,2019-03-01
ActionAid Zimbabwe,ActionAid Zimbabwe,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,300,300,Manicaland,Chimanimani,# of people receiving WASH NFI kits,General Population,1500,1500,76,68,57,58,Completed,DEC,160,23,AAZ,ZW110221,2019-03-18,2019-03-17,Mar,2019,2019,2019,2019-03-01
ActionAid Zimbabwe,ActionAid Zimbabwe,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,400,400,Manicaland,Chimanimani,# of people receiving WASH NFI kits,General Population,2000,2000,76,68,57,58,Completed,DEC,161,23,AAZ,ZW110222,2019-03-18,2019-03-17,Mar,2019,2019,2019,2019-03-01
ADRA Zimbabwe,ADRA Zimbabwe,Water,2.1 - Restoration of centralized of water supply systems,1,1,Manicaland,Chimanimani,# of people with access to safe & sufficient quantity of water,General Population,5833,1833,76,68,57,58,Ongoing,UN-DECLARED,71,23,ADRA,ZW110215,2019-03-19,2019-03-17,Mar,2019,2019,2019,2019-03-01
ADRA Zimbabwe,ADRA Zimbabwe,Hygiene,4.2 - Household level hygiene promotion activities,14350,10,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,General Population,5833,1833,76,68,57,58,Ongoing,UN-DECLARED,72,23,ADRA,ZW110215,2019-03-19,2019-03-17,Mar,2019,2019,2019,2019-03-01
Christian Aid,Africa AHEAD,Water,2.4 - Rehabilitation and disinfection of existing water points,10,0,Manicaland,Chipinge,# of people with access to safe & sufficient quantity of water,IDP & General Population,2500,0,0,0,0,0,Planned,CA,159,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,2.4 - Rehabilitation and disinfection of existing water points,10,0,Manicaland,Chipinge,# of people with access to safe & sufficient quantity of water,IDP & General Population,2500,0,0,0,0,0,Planned,CA,160,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,2.4 - Rehabilitation and disinfection of existing water points,10,0,Manicaland,Chipinge,# of people with access to safe & sufficient quantity of water,IDP & General Population,2500,0,0,0,0,0,Planned,CA,161,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,4,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,4,0,0,0,0,0,Planned,CA,162,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,4,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,4,0,0,0,0,0,Planned,CA,163,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,2,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,2,0,0,0,0,0,Planned,CA,164,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,12,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,12,0,0,0,0,0,Planned,CA,165,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,12,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,12,0,0,0,0,0,Planned,CA,166,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,6,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,6,0,0,0,0,0,Planned,CA,167,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,2,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,2,0,0,0,0,0,Planned,CA,251,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,2,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,2,0,0,0,0,0,Planned,CA,1,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Water,Other Water,2,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,2,0,0,0,0,0,Planned,CA,2,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,6000,0,Manicaland,Chipinge,# of people receiving WASH NFI kits,IDP & General Population,6000,0,0,0,0,0,Planned,CA,3,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,6000,0,Manicaland,Chipinge,# of people receiving WASH NFI kits,IDP & General Population,6000,0,0,0,0,0,Planned,CA,4,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,3000,0,Manicaland,Chipinge,# of people receiving WASH NFI kits,IDP & General Population,3000,0,0,0,0,0,Planned,CA,5,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Sanitation,Other Sanitation,4,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,4,0,0,0,0,0,Planned,CA,6,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
